sgRNA_ID,drug,rep,rdiff,prop,lab
Control_028,GSK,0,1.4335487044582937,6.253373410460274e-5,NEG_CTL -1
Control_028,GSK,1,1.6205093618341528,7.437780110167445e-5,NEG_CTL -1
Control_028,GSK,2,-1.7759709504646817,5.519270030109484e-5,NEG_CTL -1
Control_028,GSK,3,1.489848151864804,5.8030700911038944e-5,NEG_CTL -1
Control_029,GSK,-1,0.6575264301168687,2.8388874091584506e-5,NEG_CTL -1
Control_029,GSK,0,1.6267572784886084,2.8388874091584506e-5,NEG_CTL -1
Control_029,GSK,1,2.8355305093843457,6.761621009243137e-6,NEG_CTL -1
Control_029,GSK,2,-2.1452572257437112,5.519270030109484e-5,NEG_CTL -1
Control_029,GSK,3,1.2823060067099719,2.3212300964415544e-5,NEG_CTL -1
Control_030,GSK,-1,-4.401799030595519,1.1686274277299377e-5,NEG_CTL -1
Control_030,GSK,0,-3.4486690920343013,1.1686274277299377e-5,NEG_CTL -1
Control_030,GSK,1,-3.372212801863739,1.3523201018486215e-5,NEG_CTL -1
Control_030,GSK,2,-6.634756066054299,1.3798200825273382e-5,NEG_CTL -1
Control_030,GSK,3,-3.1984282238685173,7.737420988138532e-6,NEG_CTL -1
Control_031,GSK,-1,0.4754501687190574,3.7333400709688504e-5,NEG_CTL -1
Control_031,GSK,0,1.474618223937035,3.7333400709688504e-5,NEG_CTL -1
Control_031,GSK,1,2.0378382948024907,2.3665701032351013e-5,NEG_CTL -1
Control_031,GSK,2,-1.896600203403208,6.899090012636823e-5,NEG_CTL -1
Control_031,GSK,3,1.2851124147578894,1.934360097034626e-5,NEG_CTL -1
Control_032,GSK,-1,-1.674779126728031,7.876990049513688e-5,NEG_CTL -1
Control_032,GSK,0,0.9442620389571262,7.876990049513688e-5,NEG_CTL -1
Control_032,GSK,1,1.6447502884415104,4.395050106008034e-5,NEG_CTL -1
Control_032,GSK,2,-2.362989233906474,1.1498499954394495e-4,NEG_CTL -1
Control_032,GSK,3,-4.30609843471913,7.737420088138535e-5,NEG_CTL -1
Control_033,GSK,-1,0.48654941886504716,8.887120022369499e-5,NEG_CTL -1
Control_033,GSK,0,1.3523657772667743,8.887120022369499e-5,NEG_CTL -1
Control_033,GSK,1,1.7066235747257852,4.395050106008034e-5,NEG_CTL -1
Control_033,GSK,2,-1.9545318654905255,1.8397599867031193e-4,NEG_CTL -1
